STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751006,74,42
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751007,77,48
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751008,79,48
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751009,60,54
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751010,74,53
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751011,76,46
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751012,69,42
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751013,74,47
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751014,86,44
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751015,83,52
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751016,76,43
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751017,61,43
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751018,53,42
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751019,45,43
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751020,49,44
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751021,66,43
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751022,80,51
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751023,78,53
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751024,76,55
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751025,70,46
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751026,54,41
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751027,58,35
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751028,65,37
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751029,67,51
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751030,54,35
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751031,52,35
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751101,63,38
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751102,64,49
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751103,72,56
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751104,65,57
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751105,76,54
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751106,77,56
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751107,79,55
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751108,69,56
